STATION,BUSYNESS,Station.Latitude,Station.Longitude
25 ST,13831.19444,40.660397,-73.998091
25 ST,4198.666667,40.660397,-73.998091
25 ST,13747.86944,40.660397,-73.998091
25 ST,6280.052778,40.660397,-73.998091
Newkirk AVE,29277.3,40.635082,-73.962793
Ditmars Blvd,11368.73611,40.775036,-73.912034
Norwood AVE,6035.713889,40.68141,-73.880039
Norwood-205 ST,13047.34722,40.874811,-73.878855
DeKalb AVE,34307.77222,40.690635,-73.981824
Ocean Parkway,4719.405556,40.576312,-73.968501
Brighton Beach,325.1,40.577621,-73.961376
104 ST-102 ST,2667.566667,40.695178,-73.84433
Pacific ST,23725.89722,40.683666,-73.97881
Park Place,9562.219444,40.713051,-74.008811
Parkside AVE,7541.383333,40.655292,-73.961495
Parsons Blvd,11719.26389,40.707564,-73.803326
25 ST,69791.52222,40.660397,-73.998091
2 AVE,2077.213889,40.723402,-73.989938
25 ST,31809.45556,40.660397,-73.998091
Pelham Bay Park,10709.275,40.852462,-73.828121
Pelham Parkway,16716.8,40.858985,-73.855359
Pennsylvania AVE,6242.855556,40.664635,-73.894895
President ST,7179.605556,40.667883,-73.950683
Prince ST,28890.92778,40.724329,-73.997702
Prospect AVE,17757.69167,40.665414,-73.992872
Prospect Park,16845.62778,40.661614,-73.962246
Queens Plaza,15984.58889,40.748973,-73.937243
Queensboro Plaza,13431.35556,40.750582,-73.940202
Ralph AVE,7483.705556,40.678822,-73.920786
Rector ST,21523.29444,40.70722,-74.013342
25 ST,3758.902778,40.660397,-73.998091
Roosevelt 1sla,3846.302778,40.759145,-73.95326
Rockaway AVE,17096.70833,40.67834,-73.911946
Rockaway Blvd,10716.72222,40.680429,-73.843853
Rockaway Park-Beach 116,1403.370833,40.580903,-73.835592
Rockaway AVE,14319.01111,40.67834,-73.911946
DeKalb AVE,77615.075,40.690635,-73.981824
Roosevelt 1sla,10157.20556,40.759145,-73.95326
Saratoga AVE,7335.691667,40.661453,-73.916327
Seneca AVE,4017.05,40.702762,-73.90774
Sheepshead Bay,22685.10833,40.586896,-73.954155
DeKalb AVE,4792.525,40.690635,-73.981824
Simpson ST,10445.93056,40.824073,-73.893064
9 ST,7167.72963,40.670847,-73.988302
Spring ST,37266.72778,40.726227,-74.003739
ST Lawrence AVE,6967.552778,40.831509,-73.867618
25 ST,10097.28889,40.660397,-73.998091
STeinway ST,23199.83889,40.756879,-73.92074
STerling ST,8463.847222,40.662742,-73.95085
STillwell AVE,26189.825,40.577422,-73.981233
Sutphin Blvd,45038.53056,40.70546,-73.810708
Sutter AVE,18126.33889,40.669367,-73.901975
25 ST,15497.99167,40.660397,-73.998091
25 ST,33667.85556,40.660397,-73.998091
25 ST,667.1333333,40.660397,-73.998091
Tremont AVE,14349.75,40.85041,-73.905227
25 ST,14145.125,40.660397,-73.998091
Union ST,10837.66667,40.677316,-73.98311
Kew Gaens-Union Turnpike,43085.05556,40.714441,-73.831008
Utica AVE,23319.88611,40.668897,-73.932942
21st ST,2519.083333,40.754203,-73.942836
Van Siclen AVE,14167.6,40.678024,-73.891688
Briarwood-Van Wyck Blvd,6017.719444,40.709179,-73.820574
Vernon Blvd-Jackson AVE,18286.71667,40.742626,-73.953581
West 4 ST,75113.83333,40.732338,-74.000495
West 8 ST,3459.813889,40.576127,-73.975939
Wakefield-241st ST,8913.030556,40.903125,-73.85062
Wall ST,75916.40278,40.706821,-74.0091
36 AVE-Washington AVE,13765.28611,40.756804,-73.929575
45 Rd-Court House Sq,10961.91111,40.747023,-73.945264
Whitehall ST,17434.19722,40.703087,-74.012994
Whitlock AVE,2962.552778,40.826525,-73.886283
Wilson AVE,6665.975,40.688764,-73.904046
25 ST,7939.833333,40.660397,-73.998091
Woodhaven Blvd,39646.51944,40.693879,-73.851576
Woodlawn,8342.483333,40.886037,-73.878751
World Trade Center,15673.75,40.712582,-74.009781
York ST,13892.07222,40.699743,-73.986885
Zerega AVE,4473.913889,40.836488,-73.847036
