STATION,NET_ENTRIES,NET_EXITS,BUSYNESS
ORCHARD BEACH,0.0,0.0,0.0
OXFORD-104 ST,1651.0,1423.0,3074.0
PACIFIC ST,10055.0,11804.0,21859.0
PARK PLACE,5924.0,5553.0,11477.0
PARKSIDE AVE,1932.0,3533.0,5465.0
PARSONS BLVD,5984.0,6494.0,12478.0
PATH WTC,46980.0,49950.0,96930.0
PATH WTC 2,470.0,793.0,1263.0
PAVONIA/NEWPORT,296483.0,42321.0,338804.0
PELHAM BAY PARK,6592.0,4740.0,11332.0
PELHAM PARKWAY,11786.0,6440.0,18226.0
PENNSYLVANIA AV,5257.0,1438.0,6695.0
PRESIDENT ST,3653.0,4211.0,7864.0
PRINCE ST-B'WAY,15892.0,16069.0,31961.0
PROSPECT AVE,11367.0,6880.0,18247.0
PROSPECT PARK,10480.0,8590.0,19070.0
QUEENS PLAZA,9246.0,8904.0,18150.0
QUEENSBORO PLZ,10568.0,3665.0,14233.0
RALPH AVE,5178.0,2866.0,8044.0
RECTOR ST,17705.0,11058.0,28763.0
RIT-MANHATTAN,3006.0,48.0,3054.0
RIT-ROOSEVELT,3065.0,55.0,3120.0
ROCKAWAY AVE,9990.0,8281.0,18271.0
ROCKAWAY BLVD,7593.0,3660.0,11253.0
ROCKAWAY PK 116,603.0,817.0,1420.0
ROCKAWAY PKY,12241.0,3637.0,15878.0
ROOSEVELT AVE,45341.0,36506.0,81847.0
ROOSEVELT IS,6177.0,5457.0,11634.0
SARATOGA AVE,5673.0,2631.0,8304.0
SENECA AVE,2404.0,2469.0,4873.0
SHEEPSHEAD BAY,12982.0,12318.0,25300.0
SHEPHERD AVE,2907.0,2241.0,5148.0
SIMPSON ST,7875.0,2163.0,10038.0
SMITH-9 ST,3941.0,4186.0,8127.0
SPRING ST,26201.0,16943.0,43144.0
ST LAWRENCE AVE,3875.0,3746.0,7621.0
ST. GEORGE,12512.0,0.0,12512.0
STEINWAY ST,13964.0,10783.0,24747.0
STERLING ST,5616.0,3560.0,9176.0
STILLWELL AVE,12716.0,12741.0,25457.0
SUTPHIN BLVD,27749.0,24077.0,51826.0
SUTTER AVE,11187.0,8014.0,19201.0
THIRTY ST,10320.0,12106.0,22426.0
THIRTY THIRD ST,24256.0,15264.0,39520.0
TOMPKINSVILLE,761.0,0.0,761.0
TREMONT AVE,8731.0,6891.0,15622.0
TWENTY THIRD ST,7529.0,10261.0,17790.0
UNION ST,6763.0,6022.0,12785.0
UNION TPK-KEW G,27764.0,21963.0,49727.0
UTICA AVE,14300.0,10970.0,25270.0
VAN ALSTON-21ST,1264.0,1441.0,2705.0
VAN SICLEN AVE,8695.0,6475.0,15170.0
VAN WYCK BLVD,4353.0,2184.0,6537.0
VERNON/JACKSON,12526.0,9489.0,22015.0
W 4 ST-WASH SQ,39845.0,40179.0,80024.0
W 8 ST-AQUARIUM,2311.0,1608.0,3919.0
WAKEFIELD-241,5223.0,5141.0,10364.0
WALL ST,52371.0,43444.0,95815.0
WASHINGTON-36 A,7719.0,8134.0,15853.0
WESTCHESTER SQ,6174.0,5764.0,11938.0
WHITEHALL ST,14534.0,12179.0,26713.0
WHITLOCK AVE,1539.0,1541.0,3080.0
WILSON AVE,3705.0,3378.0,7083.0
WINTHROP ST,7057.0,1861.0,8918.0
WOODHAVEN BLVD,25426.0,16974.0,42400.0
WOODLAWN ROAD,7783.0,1841.0,9624.0
WORLD TRADE CTR,12927.0,6314.0,19241.0
YORK ST,8655.0,7708.0,16363.0
ZEREGA AVE,2691.0,1850.0,4541.0
